Scenario,α Target (%),Recovery Rate (%),Total Cost (×10⁸ CNY),Cost Change vs. Base (%),Remanuf. Ratio (%),CO₂ Emission (×10⁴ t),Timber Saved (×10⁴ t),Production Cost (×10⁸),Transport Cost (×10⁸),Collection Cost (×10⁸),Fixed Cost (×10⁸),Disposal Cost (×10⁸),Carbon Cost (×10⁸),Excess CO₂ (×10⁴ t)
α=0.00,0,31.20,351.347,+0.00,22.92,36.42,427.9,298.707,30.965,11.099,6.810,3.766,0.000,0.00
α=0.30,30,31.20,351.347,-0.00,22.92,36.42,427.9,298.707,30.965,11.099,6.810,3.766,0.000,0.00
α=0.40,40,40.00,352.212,+0.25,29.38,40.17,548.6,290.665,34.882,14.228,7.610,4.827,0.000,0.00
α=0.50,50,50.00,356.959,+1.60,36.72,42.10,685.7,281.522,36.894,24.898,7.610,6.034,0.000,0.00
α=0.60,60,60.00,363.414,+3.43,44.06,45.67,822.8,272.380,40.614,35.569,7.610,7.241,0.000,0.00
